_id,question,A,B,C,D,answer,GPT_answer,accuracy,response_time,updatedAt
65696337793453ba7eacc20f,Which of the following styles of fuzzer is more likely to explore paths covering every line of code in the following program?,Generational,Blackbox,Whitebox,Mutation-based,C,\n\nAnswer: C Whitebox,1,347.15230000019073,2023-12-01T05:42:07.734Z
65696337793453ba7eacc210,"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?\n1. An attacker replaying bytes that a client sent earlier.\n2. An attacker impersonating the server.","True, True","False, False","True, False","False, True",A,"\n\nAnswer: C True, False",0,1083.1383999995887,2023-12-01T05:58:29.837Z
65696337793453ba7eacc211,MIT’s Kerberos KDC server has a maximum ticket lifetime of 24 hours (for most user principals). What ensures that an expired Kerberos ticket can no longer be used?,The Kerberos server (KDC) refuses to establish new connections between clients and servers for expired tickets.,"When a client connects to a server, the server sets a 24-hour timer to terminate the connection, which ensures a client cannot remain connected past the ticket’s maximum lifetime.","When a client connects to a server, the server compares the ticket’s expiration time to the server’s current clock, and refuses to authenticate the user if the ticket expiration time is in the past.","When a client connects to a server, the server sends a query to the KDC to check if the ticket is still valid with respect to the KDC’s clock, and refuses to authenticate the user if the KDC reports that the ticket is expired.",C,"\n\nAnswer: D When a client connects to a server, the server sends a query to the KDC to check if the ticket is still valid with respect to the KDC’s clock, and refuses to authenticate the user if the KDC reports that the ticket is expired.",0,1326.9859999977052,2023-12-01T05:58:36.511Z
65696337793453ba7eacc212,"In Message Condentiality, the transmitted message must make sense to only intended",Receiver,Sender,Modulor,Translator,A,\n\nAnswer: A Receiver,1,296.9400999993086,2023-12-01T05:38:27.748Z
65696337793453ba7eacc213,Which of the following is a remote Trojan?,Troya,DaCryptic,BankerA,Game-Troj,A,\n\nAnswer: A Troya,1,383.2184000015259,2023-12-01T05:42:15.335Z
65696337793453ba7eacc214,______________ is a widespread app’s coding mistake made by developers which could be exploited by an attacker for gaining access or malfunctioning your system.,Memory leakage,Buffer-overrun,Less processing power,Inefficient programming,B,\n\nAnswer: Buffer-overrun,1,356.361400000751,2023-12-01T05:38:29.492Z
65696337793453ba7eacc215,"Consider the paper Native Client: A Sandbox for Portable, Untrusted x86 Native Code by Yee et al. Ben Bitdiddle notes that NaCl uses Intel x86 segmentation to ensure that the sandboxed module does not read or write memory outside its own data area, and does not execute instructions outside its own code. Ben thinks that with these restrictions alone, executing the sandboxed module must be safe; that is, he thinks validation is not needed. Ben is wrong. Circle the types of x86 machine instructions that the validator always forbids in sandboxed code. Please ignore trampoline and springboard code.",all instructions that modify segment state,all loads or stores to addresses that are not 0 mod 32,all indirect loads or stores (via an address in a register or variable),all indirect jumps (via an address in a register or variable),A,\n\nD all indirect jumps (via an address in a register or variable),0,529.4248000010848,2023-12-01T05:58:38.582Z
65696337793453ba7eacc216,____________ is also a part of darknet that is employed for transferring files anonymously.,Freenet,ARPANET,Stuxnet,Internet,A,\n\nAnswer: A. Freenet,1,419.5224000029266,2023-12-01T05:38:34.843Z
65696337793453ba7eacc217,"Why apps developed in languages like C, C++ is prone to Buffer-overflow?",No string boundary checks in predefined functions,No storage check in the external memory,No processing power check,No database check,A,\n\nAnswer: A No string boundary checks in predefined functions,1,417.8103999979794,2023-12-01T05:38:36.429Z
65696337793453ba7eacc218,Man in the middle attack can endanger the security of Diffie Hellman method if two parties are not,Joined,Authenticated,Submitted,Shared,B,\n\nAnswer: B - Authenticated,1,321.3011999987066,2023-12-01T05:38:37.889Z
65696337793453ba7eacc219,An integer overflow occurs when,"an integer expression's result ""wraps around""; instead of creating a very large number, a very small (or negative) number ends up getting created",an integer is used as if it was a pointer,an integer is used to access a buffer outside of the buffer's bounds,there is no more space to hold integers in the program,D,"\n\nA an integer expression's result ""wraps around""; instead of creating a very large number, a very small (or negative) number ends up getting created.",0,1300.2313000001013,2023-12-01T05:58:59.265Z
65696337793453ba7eacc21a,"Let HH be a Merkle-Damgard hash function is H:X^{\leq L} \to TH:X^≤L  →T. Construct a MAC from this HH as follows: \ \ S(k,m) = H(k \| m)  S(k,m)=H(k∥m). This mac is insecure because:",Given H(k \| m)H(k∥m) anyone can compute H(w \| k \| m \| \text{PB})H(w∥k∥m∥PB) for any ww,Given H(k \| m)H(k∥m) anyone can compute H(k \| m \| w)H(k∥m∥w) for any ww,Given H(k \| m)H(k∥m) anyone can compute H(k \| m \| \text{PB} \| w)H(k∥m∥PB∥w) for any ww,Anyone can compute H( k \| m )H(k∥m) for any mm,C,\n\nAnswer: C Given H(k \| m)H(k∥m) anyone can compute H(k \| m \| \text{PB} \| w)H(k∥m∥PB∥w) for any ww,1,1333.303599998355,2023-12-01T05:38:42.793Z
65696337793453ba7eacc21b,"Suppose that Alice and Bob sent confidential text messages to one another last month through an encrypted messaging system. Alice and Bob are worried that an adversary might compromise one of their computers today, while they are taking the 6.858 final exam, and would then be able to decrypt those messages. Which of the following security properties can address Alice and Bob’s concern?",Authentication.,Deniability.,Forward secrecy,Backward secrecy.,C,\n\nAnswer: C Forward secrecy.,1,347.5498999990523,2023-12-01T05:38:44.257Z
