_id,question,A,B,C,D,answer,GPT_answer,accuracy,response_time,updatedAt
6569630a793453ba7eacc1aa,"Unlike most other early civilizations, Minoan culture shows little evidence of:",trade.,warfare.,the development of a common religion.,conspicuous consumption by elites.,D,\n\nAnswer: B Warfare.,0,437.33680000156164,2023-12-01T06:27:28.843Z
6569630a793453ba7eacc1ab,The greatest Egyptian pyramids at Giza were built:,"as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure.","by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament.",in the construction frenzy of the 6th dynasty.,all of the above.,A,\n\nAnswer: D all of the above.,0,480.1034999974072,2023-12-01T06:27:35.332Z
6569630a793453ba7eacc1ac,"When anatomically modern humans first arrived in the Middle East, who did they encounter?","Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia","Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia","Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago",All of the above,A,\n\nAnswer: D All of the above,0,776.4420999996364,2023-12-01T06:27:43.512Z
6569630a793453ba7eacc1ad,The “Lion Man” from Hohlenstein-Stadel cave is an example of:,mobiliary art.,long-distance trade of exotic raw materials.,parietal art.,a Venus figurine.,A,\n\nAnswer: A mobiliary art.,1,987.6121000014246,2023-12-01T05:16:04.172Z
6569630a793453ba7eacc1ae,"At its peak, the palace at Knossos is thought to have had over _________ rooms.",100,500,"1,000","5,000",C,"\n\nAnswer: D. 5,000",0,358.5182000026107,2023-12-01T06:28:05.645Z
6569630a793453ba7eacc1af,"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT:",formal government,monumental earthworks,urban centers,a permanent military,B,\n\nAnswer: D a permanent military,0,463.3123999983072,2023-12-01T05:16:07.313Z
6569630a793453ba7eacc1b0,Markings found on the mud-bricks of Huaca del Sol are probably:,instructions for the builders written there by the engineers.,random scratches and not a meaningful script or written language.,intended to identify the local group that had produced them.,simple arithmetic performed by carpenters on the building site.,C,\n\nAnswer: A instructions for the builders written there by the engineers.,0,479.63190000131726,2023-12-01T05:16:09.819Z
6569630a793453ba7eacc1b1,The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________.,"legumes, sarsens","lintels, stelae","sarsens, lintels","trilithon, tholoi",C,"\n\nAnswer: C. Sarsens, lintels",1,484.07689999975264,2023-12-01T05:16:11.513Z
6569630a793453ba7eacc1b2,"The secondarily altricial condition of modern human babies may have been an evolutionary solution, in that:","the brain size of hominids had not grown for more than a million years, making it difficult for babies to walk.",it allowed for bipedalism and independence from the mother at an earlier age.,"it allowed for subsequent growth of the brain, since bipedalism had resulted in a narrowed birth canal in the female pelvis.","it allowed for growth of the brain to nearly adult size prior to birth, since bipedalism had resulted in a wider birth canal in the female pelvis.",C,"\n\nAnswer: C it allowed for subsequent growth of the brain, since bipedalism had resulted in a narrowed birth canal in the female pelvis.",1,876.8781999982893,2023-12-01T05:16:13.496Z
6569630a793453ba7eacc1b3,Research on C3 and C4 pathways indicates that changes in plant communities were associated with a transition in the diets of ancient hominids from:,species focused on grasses to nuts and fruits.,meat to fruits and vegetables.,fruits and vegetables to fish.,nuts and fruits to species more focused on grasses.,D,\n\nAnswer: B meat to fruits and vegetables.,0,1000.1804999988526,2023-12-01T05:16:16.458Z
6569630a793453ba7eacc1b4,Which of the following is evidence of new uses for plants during the Middle Stone Age?,the use of seeds as a natural insecticide in Altamira cave in southwestern Europe,plant materials such as flowers in Aurignacian burials in southern France,plant material lining the floor of Sibudu Cave in South Africa,the use of wood in the Gravettian tradition to make spear-throwers and canoes,C,\n\nAnswer: C. Plant material lining the floor of Sibudu Cave in South Africa,1,929.7269000001252,2023-12-01T05:16:18.406Z
6569630a793453ba7eacc1b5,That modern Africans do not possess any Neandertal DNA indicates that:,Gene flow between Neandertals and anatomically modern humans must have occurred before Neandertals migrated out of Africa.,Gene flow between Neandertals and anatomically modern humans occurred after anatomically modern humans migrated out of Africa.,"Neandertals who lived in Africa did not interbreed with anatomically modern humans, but must have followed them when they migrated out of Africa.",Interbreeding between anatomically modern humans and Neandertals never occurred.,B,\n\nAnswer: A Gene flow between Neandertals and anatomically modern humans must have occurred before Neandertals migrated out of Africa.,0,843.6811000015587,2023-12-01T05:16:20.314Z
6569630a793453ba7eacc1b6,"Toward the end of the Pleistocene, between 28,000 and 18,000 years ago, worldwide sea level was much lower than present day, resulting in the exposure of a landmass east of Siberia called __________. This period is called the _______.",Beringia; Late Beringian Period,Sundaland; McKenzie Maximum,Beringia; Late Glacial Maximum,Wallacea; Late Laurentide Period,C,\n\nAnswer: A Beringia; Late Beringian Period,0,490.6244999989867,2023-12-01T05:16:22.076Z
6569630a793453ba7eacc1b7,Which archaeological method is best for identifying large-scale land modifications?,test pits,ground-penetrating radar,aerial photography,proton magnetometers,C,\n\nAnswer: B Ground-penetrating radar,0,355.13580000028014,2023-12-01T05:16:24.557Z
6569630a793453ba7eacc1b8,What designation for a pottery style was eventually applied to an entire cultural complex that moved across the Pacific?,Clovis,Nenana Complex,Lapita,Micronesian Pottery Tradition,C,\n\nAnswer: C. Lapita,1,377.3717000000179,2023-12-01T05:16:26.688Z
6569630a793453ba7eacc1b9,What is one of the differences between simple foragers and complex foragers?,Complex foragers employ irrigation technology.,Complex foragers rely on a wider range of food sources.,Complex foragers are more highly mobile.,Complex foragers focus on a few highly productive resources.,D,\n\nAnswer: B Complex foragers rely on a wider range of food sources.,0,528.9004000015557,2023-12-01T05:16:29.618Z
6569630a793453ba7eacc1ba,The significance of Frere's discovery was that what he found was located:,beneath the remains of extinct animals.,"on the surface, above the remains of extinct animals.",in a region of Africa where no one thought humans had ever lived.,on top of the ruins of a Medieval castle.,A,\n\nAnswer: C in a region of Africa where no one thought humans had ever lived.,0,624.7083999998868,2023-12-01T05:16:31.466Z
6569630a793453ba7eacc1bb,What is the earliest form of writing in the world and where did it develop?,"cuneiform, in Mesopotamia","hieroglyphics, in Egypt","clay-tablets, at Knossos","runes, at Stonehenge",A,"\n\nAnswer: A Cuneiform, in Mesopotamia",1,467.1025000009686,2023-12-01T05:16:33.327Z
6569630a793453ba7eacc1bc,A pattern of social integration in which individuals are placed into a hierarchy of social levels is called:,urbanization.,a social system.,social stratification.,a necropolis.,C,\n\nAnswer: C social stratification.,1,357.06010000035167,2023-12-01T05:16:36.015Z
6569630a793453ba7eacc1bd,The Minoan economy may have been especially vulnerable to natural catastrophe because it relied heavily on:,agriculture,maritime trade,metalworking,slave labor,B,\n\nAnswer: A Agriculture,0,535.665300000459,2023-12-01T05:16:38.153Z
6569630a793453ba7eacc1be,"The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________.",Moche; AD 400,Wari; AD 100,Inca; AD 200,Maya; AD 400,A,\n\nAnswer: A Moche; AD 400,1,728.5518999993801,2023-12-01T05:16:40.420Z
6569630a793453ba7eacc1bf,"What is the name of the lithic technology seen in the Arctic and consisting of wedge-shaped cores, micro-blades, bifacial knives, and burins?",Clovis Complex,Denali Complex,Folsom Complex,Nenana Complex,B,\n\nAnswer: B. Denali Complex,1,344.6318999994546,2023-12-01T05:16:42.040Z
6569630a793453ba7eacc1c0,Which of the following is used to remove the soil enclosing site materials?,brushes,trowels,dental picks,all of the above,D,\n\nAnswer: D all of the above.,1,316.84830000065267,2023-12-01T05:16:44.310Z
6569630a793453ba7eacc1c1,"A continuous, projecting ridge of bone above and across the eye orbits is called the:",sagittal crest.,supraorbital torus.,maxilla.,occipital bone.,B,\n\nAnswer: B supraorbital torus.,1,376.40560000017285,2023-12-01T05:16:46.928Z
6569630a793453ba7eacc1c2,Ancestral Puebloan culture in Chaco Canyon was comprised of:,around 75 substantial settlements and more than 300 smaller communities.,more than 500 towns and villages with monumental architecture.,between 30 and 40 farmsteads and three large pueblos.,one large city state with more than 300 outlying farmsteads.,A,\n\nAnswer: A around 75 substantial settlements and more than 300 smaller communities.,1,510.16369999945164,2023-12-01T05:16:50.572Z
6569630a793453ba7eacc1c3,The Yang-shao culture gave way to the Lung-Shan sometime after:,"6,000 B.P.","5,000 B.P.","4,000 B.P.","3,000 B.P.",B,"\n\nAnswer: B 5,000 B.P.",1,387.0430999994278,2023-12-01T05:16:52.005Z
6569630a793453ba7eacc1c4,The most prominent feature of the food resource base of post-Pleistocene Europe was its:,dependence on megafauna.,hunting and gathering.,dependence on fur-bearing animals.,diversity.,D,\n\nAnswer: B hunting and gathering.,0,460.34860000014305,2023-12-01T05:16:53.545Z
6569630a793453ba7eacc1c5,Evidence of wild grain harvesting and consumption in Israel dates to as early as,"20,000 B.P.","12,000 B.P.","10,000 B.P.","8,000 B.P.",A,"\n\nAnswer: B 12,000 B.P.",0,493.5906000006944,2023-12-01T05:23:50.224Z
6569630a793453ba7eacc1c6,Civilization in the Indus Valley was characterized by:,highly centralized economies.,carefully planned and designed cities.,standardized weights and measures.,all of the above.,D,\n\nAnswer: D all of the above.,1,446.5269999988377,2023-12-01T05:16:58.122Z
6569630a793453ba7eacc1c7,"According to one theory, the power of Ancestral Pueblo elites emerged when certain groups:",predicted astronomical events such as eclipses and meteor showers.,constructed monuments and elaborate multi-storied cliff dwellings.,stored food surpluses in good years for distribution in bad years.,incorporated other societies through conquest warfare.,C,\n\nAnswer: B. constructed monuments and elaborate multi-storied cliff dwellings.,0,587.1986000016332,2023-12-01T05:17:00.662Z
6569630a793453ba7eacc1c8,"Teotihuacán came to prominence in the Basin of Mexico after its rival, Cuicuilco,",was crippled by a volcanic eruption.,succumbed to a civil war among its ruling families.,suffered a blight on its crops.,was flooded by a Gulf Coast hurricane.,A,\n\nA was crippled by a volcanic eruption.,1,390.1629999987781,2023-12-01T05:17:04.181Z
6569630a793453ba7eacc1c9,Evidence from northwest coast societies indicates that what is ultimately needed for the development of social complexity is:,agriculture.,irrigation technology.,social stratification.,a food surplus.,D,\n\nAnswer: D a food surplus.,1,398.25799999944866,2023-12-01T05:17:05.657Z
6569630a793453ba7eacc1ca,Which subfield of anthropology aims to better understand the nearest living relatives of humans?,paleoanthropology,archaeology,primatology,linguistics,C,\n\nAnswer: C. Primatology,1,387.84180000051856,2023-12-01T05:17:07.110Z
6569630a793453ba7eacc1cb,How did Aurignacian technology differ from Mousterian technology?,Mousterian technology produced more projectile points.,Mousterian technology produced more usable blade surface.,Aurignacian technology produced more usable blade surface.,Aurignacian technology was focused on the production of hand axes.,C,\n\nAnswer: C Aurignacian technology produced more usable blade surface.,1,693.9769999999553,2023-12-01T05:17:08.950Z
6569630a793453ba7eacc1cc,Which of the following is evidence of a complex society?,monumental works,burials with grave goods,leisure and a sedentary lifestyle,all of the above,A,\n\nAnswer: D all of the above.,0,436.60639999993145,2023-12-01T05:17:10.602Z
6569630a793453ba7eacc1cd,"The face of Homo erectus was more ________ than modern humans, but less so than Homo habilis.",altricial,hairy,occipital,prognathous,D,\n\nAnswer: D prognathous,1,327.3782999999821,2023-12-01T05:17:12.578Z
6569630a793453ba7eacc1ce,Montezuma ruled over millions of people from the _______ capital of _____.,Maya; Tikal.,Aztec; Tenochtitlán.,Teotihuacános; Teotihuacán.,Zapotec; Monte Albán.,B,\n\nB Aztec; Tenochtitlán.,1,564.329299999401,2023-12-01T05:17:14.865Z
6569630a793453ba7eacc1cf,"The belief that all of the characteristics of civilization developed in one place, such as Egypt, and from there spread out to the rest of the world is known as:",cultural evolution,migrationism,diffusionism,anti-originalism,C,\n\nAnswer: C. Diffusionism.,1,1416.2430000007153,2023-12-01T05:17:21.225Z
6569630a793453ba7eacc1d0,"When the ratio of brain size to body size is compared, which species has a proportionally larger brain?",Homo erectus,premodern Homo sapiens,Neandertals,modern Homo sapiens,D,\n\nAnswer: D. Modern Homo sapiens.,1,675.3141000010073,2023-12-01T05:17:21.722Z
6569630a793453ba7eacc1d1,"The royal graves of the Shang Dynasty consisted of enormous cruciform-shaped tombs, where the deceased kings were buried with:","jade, bronze, and ceramic artifacts.",chariots and horses.,the headless bodies of humans who had been sacrificed.,all of the above.,D,\n\nAnswer: D all of the above.,1,388.101499998942,2023-12-01T05:17:23.739Z
