_id,question,A,B,C,D,answer,GPT_answer,accuracy,response_time,updatedAt
6569539b90ab67957d48bffc,Mass-society theory suggests that:,the content of the media is determined by market forces,the subordinate classes are dominated by the ideology of the ruling class,"the media manipulate 'the masses' as vulnerable, passive consumers",audiences make selective interpretations of media messages,C,"\n\nAnswer: C the media manipulate 'the masses' as vulnerable, passive consumers",1,573.3365000002086,2023-12-01T05:33:39.824Z
6569539b90ab67957d48bffd,The ecological approach to urban sociology involved studying:,how social groups colonized different areas of the city and competed for resources,the forms of wildlife and natural habitats that could be found on the edges of the city,the way in which people organized collective protests about environmental issues,how men and women used the city's public spaces differently,A,\n\nAnswer: A how social groups colonized different areas of the city and competed for resources,1,572.0612000003457,2023-12-01T05:29:47.403Z
6569539b90ab67957d48bffe,Becker proclaimed that cannabis use was:,increasing throughout all sections of youth in the 1970s,learned gradually through the social processes of a deviant career,a dangerous pastime that young people should not be allowed to pursue,not as enjoyable as other sociologists had suggested,B,\n\nAnswer: A increasing throughout all sections of youth in the 1970s,0,741.9216000027955,2023-12-01T06:27:14.330Z
6569539b90ab67957d48bfff,The middle classes that developed over the nineteenth century were:,"an urban set, involved in civic bodies and voluntary associations",too diverse to have a strong sense of class consciousness,often involved in 'white collar' work,all of the above,D,\n\nAnswer: D all of the above.,1,419.3070000000298,2023-12-01T05:29:49.241Z
6569539b90ab67957d48c000,Technological forms of surveillance have made it easier to:,access and exchange 'private' information about consumers,reduce prison overcrowding by the use of electronic tagging,monitor employees' activities at work,all of the above,D,\n\nAnswer: D all of the above.,1,420.43649999797344,2023-12-01T05:29:50.960Z
6569539b90ab67957d48c001,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as,organic solidarity,mechanical solidarity,gesellschaft,anomie,B,\n\nAnswer: B mechanical solidarity,1,369.9737999998033,2023-12-01T05:29:52.537Z
6569539b90ab67957d48c002,There was a growth in income inequality in the 1980s because:,rates of income tax increased equally for all occupational groups,there were more professional jobs available but not enough people to fill them,the price of consumer goods rose at a higher rate than earnings,growing unemployment made more people dependent on welfare benefits,D,\n\nAnswer: C the price of consumer goods rose at a higher rate than earnings,0,654.6820999979973,2023-12-01T05:29:55.431Z
6569539b90ab67957d48c003,"If a deviant act is 'normalized', it is:",recognised as breaking an important norm of behaviour,seen a temporary aberration from an otherwise 'normal' character,the first step in establishing a deviant career,attributed to the person's genetic or anatomical make up,B,\n\nAnswer: C. the first step in establishing a deviant career,0,497.6972000002861,2023-12-01T05:29:58.696Z
6569539b90ab67957d48c004,"In the debate about the 'managerial revolution', John Scott (1997) argued that:",owners still exercised control through groups of shareholders and interlocking directorships,ownership and management were becoming increasingly separate functions,the techniques of scientific management were overly bureaucratic and inefficient,managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses,A,\n\nAnswer: A owners still exercised control through groups of shareholders and interlocking directorships,1,541.313599999994,2023-12-01T05:30:01.962Z
6569539b90ab67957d48c005,Marxist feminists explain patriarchy in terms of:,a lack of equal rights and opportunities for men and women,"sex classes, through which men oppress women economically, politically and sexually",women's domestic labour being exploited by the capitalist economy,the dual systems of capitalism and male domination,C,\n\nAnswer: C. Women's domestic labour being exploited by the capitalist economy,1,628.2602999992669,2023-12-01T05:30:04.407Z
6569539b90ab67957d48c006,Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':,the democratization of the family,putting an end to privatization,"positive welfare: 'a hand up, not a hand-out'",the strengthening of civil society,B,\n\nAnswer: B. Putting an end to privatization,1,382.1645999997854,2023-12-01T05:30:09.190Z
6569539b90ab67957d48c007,Anti-psychiatrists like Laing & Esterson believed that:,Psychiatry was an out-moded form of treatment and should be replaced by alternative therapies like aromatherapy and kinesiology,"Mental illnesses were biological in origin, so there was no point in studying 'the mind' as experienced by the patient",Psychiatrists were agents of capitalism who tried to instill ruling class ideology into their patients,Behaviour that seemed bizarre could be seen as a reasonable response to disturbed patterns of family interaction,D,\n\nAnswer: D Behaviour that seemed bizarre could be seen as a reasonable response to disturbed patterns of family interaction.,1,797.297800000757,2023-12-01T05:30:11.593Z
6569539b90ab67957d48c008,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:,socialization into working class families and communities,rational calculation of self-interest,issue-based concerns about culture and lifestyle,false consciousness and the acceptance of hegemonic values,A,\n\nAnswer: A socialization into working class families and communities,1,521.9620999991894,2023-12-01T05:30:13.467Z
6569539b90ab67957d48c009,"In contemporary societies, social institutions are:","highly specialized, interrelated sets of social practices",disorganized social relations in a postmodern world,virtual communities in cyberspace,no longer relevant to sociology,A,"\n\nAnswer: A highly specialized, interrelated sets of social practices",1,575.6730000004172,2023-12-01T05:30:15.617Z
6569539b90ab67957d48c00a,The term 'emotion work' (Hochschild 1983) refers to:,the techniques used to consciously manage and present emotions that are deemed appropriate for public settings of interaction,"the work done by psychologists, counselors and therapists to help clients with mental and emotional problems","experiences such as grieving and falling in love, which demand a lot of emotional energy from a person",the way in which increasing levels of risk and anxiety have made us think more reflexively about our self-identities,A,\n\nAnswer: A the techniques used to consciously manage and present emotions that are deemed appropriate for public settings of interaction,1,875.9298000000417,2023-12-01T05:30:18.753Z
6569539b90ab67957d48c00b,"When sociologists study the structure of layers in society and people's movement between them, they call this:",social stratification,social control,social conflict,social solidarity,A,\n\nAnswer: A. Social Stratification,1,418.67580000311136,2023-12-01T05:30:20.344Z
6569539b90ab67957d48c00c,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and...",affectual,affective,effective,infected,A,\n\nAnswer: B. Affective,0,441.4011000022292,2023-12-01T05:30:22.617Z
6569539b90ab67957d48c00d,An ecclesia is:,a religious organization that claims total spiritual authority over its members,a church organized around voluntary rather than compulsory membership,a sect or cult with a very small following,a hierarchy of priests or other spiritual leaders,A,\n\nAnswer: B a church organized around voluntary rather than compulsory membership,0,486.5126000009477,2023-12-01T05:30:25.935Z
6569539b90ab67957d48c00e,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:",assimilation,adaptation,discrimination,compensation,A,\n\nAnswer: B adaptation,0,336.6836000010371,2023-12-01T05:30:27.759Z
6569539b90ab67957d48c00f,Sutherland's study of the 'professional thief' suggested that:,people are socialized into a life of crime by associating with others who define it in positive terms,the majority of crime is committed by middle class people in professional occupations,those who were arrested and charged with theft did not define themselves as thieves,the most dangerous criminals on the street were those who were highly skilled thieves,A,\n\nAnswer: D the most dangerous criminals on the street were those who were highly skilled thieves.,0,625.9776999987662,2023-12-01T05:30:30.764Z
6569539b90ab67957d48c010,Which of the following policies did the New Labour government not pursue?,setting and streaming pupils by ability,parental choice of school,supporting LEAs that appeared to be failing,state regulation and control of the curriculum,C,\n\nAnswer: B: Parental choice of school,0,431.00059999898076,2023-12-01T05:30:33.364Z
6569539b90ab67957d48c011,"Stone's research suggests that prior to industrialization, the nuclear family:",did not exist in any form,"had begun to disappear, as extended networks of kin became more important",had begun to emerge through the separation of work and home life,was simply another institution of patriarchal control,C,\n\nAnswer: C had begun to emerge through the separation of work and home life.,1,718.9545000009239,2023-12-01T05:30:35.976Z
6569539b90ab67957d48c012,"Statistics about rural, suburban, and urban patterns of development and mobility are almost always reported based on a geographical area labeled as Metropolitan Statistical Areas (MSA). What constitutes an MSA?",It includes only the 10 largest cities in the United States.,"It is composed of at least one central city with a population of at least 50,000 and it surrounds densely urbanized counties.",It is an area that experiences strong storms at least 50 percent of the year.,It is a large city with a population of at least 1 million and is immediately surrounded by suburbs.,B,"\n\nAnswer: B It is composed of at least one central city with a population of at least 50,000 and it surrounds densely urbanized counties.",1,1557.7591000013053,2023-12-01T05:30:39.484Z
6569539b90ab67957d48c013,Mosca and Pareto identified the ruling elite as:,a minority group who fill all the top positions of political authority,a coalition of social forces with specific skills and abilities,a group who circulate between high status positions and exclude others,all of the above,D,\n\nAnswer: D all of the above,1,453.4274000003934,2023-12-01T05:30:39.903Z
6569539b90ab67957d48c014,Bourdieu attributed the reproduction of class to:,cults of the capital,capital culture,cultural capital,culpable capture,C,\n\nAnswer: C. Cultural capital,1,465.33810000121593,2023-12-01T05:30:42.361Z
6569539b90ab67957d48c015,Secularization involves the two related ideas of:,disappointment and disproportion,disbelief and disintegration,disengagement and disenchantment,distribution and distillation,C,\n\nAnswer: C Disengagement and Disenchantment,1,447.2056999988854,2023-12-01T05:30:44.161Z
6569539b90ab67957d48c016,The general fertility rate fell between 1964 and 2000 because of:,increases in the age of marriage and the age at which childbearing begins,there being fewer women of childbearing age than there were in the first half of the century,errors in the measurement of birth rates and production of statistics,"the risk of diseases caused by poverty, poor housing and bad sanitation",A,\n\nAnswer: A increases in the age of marriage and the age at which childbearing begins,1,631.528599999845,2023-12-01T05:30:46.223Z
6569539b90ab67957d48c017,Howard's idea of the garden city consisted of:,six small towns surrounded by green belts and linked to a larger central city,"planning cities to have plenty of trees, flowers and public gardens",each privately owned house to have its own front and back garden,tower blocks to displace the population vertically and leave most of the land available as green open spaces,A,"\n\nAnswer: A six small towns surrounded by green belts and linked to a larger central city B planning cities to have plenty of trees, flowers and public gardens C each privately owned house to have its own front and back garden D tower blocks to displace the population vertically and leave most of the land available as green open spaces.",1,1579.6273999996483,2023-12-01T05:30:52.184Z
6569539b90ab67957d48c018,The 'third age' of the life course is said to involve:,active non-work and independence after retirement,"full time employment, family-building and adult responsibility","illness, isolation and increasing dependence on others","the transition from education to work, and distinctive youth cultures",A,\n\nAnswer: A active non-work and independence after retirement,1,423.83849999681115,2023-12-01T05:30:52.586Z
6569539b90ab67957d48c019,Weber (1919) said that the state's monopoly of the use of force was legitimated by:,charismatic authority,rational-legal authority,traditional authority,value-rational authority,B,\n\nAnswer: B rational-legal authority,1,424.92760000005364,2023-12-01T05:30:57.975Z
6569539b90ab67957d48c01a,Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:,they had rediscovered themselves as 'new men',their wives were at home and nagged them all the time,exciting gadgets like the hoover and electric iron were invented,they were unemployed or both partners worked full time,D,\n\nAnswer: A they had rediscovered themselves as 'new men',0,402.3581000007689,2023-12-01T05:30:59.771Z
6569539b90ab67957d48c01b,The shift from custodial to joint parenthood after divorce means that:,fathers are more likely to be absent from their children's lives,one parent has total responsibility for the child's welfare and socialization,both parents are expected to co-operate in the continued care of their children,parents must provide for all of their children in equal measure,C,\n\nAnswer: C both parents are expected to co-operate in the continued care of their children,1,666.0606999993324,2023-12-01T05:31:01.607Z
6569539b90ab67957d48c01c,Émile Durkheim believed the primary focus of sociology should be which of the following?,Social action,Social facts,Class relations,Cultural dynamics,B,\n\nAnswer: B Social facts,1,361.83760000020266,2023-12-01T05:31:03.235Z
6569539b90ab67957d48c01d,"The term ""sociology"" was coined in the early 1800s by which of the following?",Auguste Comte,Robert K. Merton,Karl Marx,Emile Durkheim,A,\n\nAnswer: A Auguste Comte,1,419.2157000005245,2023-12-01T05:31:04.991Z
6569539b90ab67957d48c01e,"In their study of depression, Brown & Harris (1978) found that:",women's susceptibility to stress depended on their levels of social support,self-reported depression is highest amongst men and the relatively affluent,men and women have fairly similar levels of diagnosed depression,men are more vulnerable to depression because of conventional gender roles,A,\n\nAnswer: A women's susceptibility to stress depended on their levels of social support,1,618.6541000008583,2023-12-01T05:31:06.808Z
6569539b90ab67957d48c01f,The alternative form of 'network organization' means that:,work can be subcontracted out to independent suppliers and retailers,business transactions occur only through electronic communication,"the Japanese model is applied, through lateral networks of flexible roles",activities are redistributed equally between men and women,A,\n\nAnswer: A work can be subcontracted out to independent suppliers and retailers.,1,580.4294000007212,2023-12-01T05:31:08.716Z
6569539b90ab67957d48c020,Margaret Mead suggested that:,adolescence and gender roles varied between societies and so were culturally determined,gender roles in three New Guinea societies were identical and so must be biologically determined,adolescence in the USA is a time of relative calm compared to the experience in Japan and Europe,anthropological fieldwork can be problematic because the researcher's values affect the way they interpret their observations,A,\n\nAnswer: A adolescence and gender roles varied between societies and so were culturally determined,1,680.3940000012517,2023-12-01T05:31:11.268Z
6569539b90ab67957d48c021,The term 'secondary deviation' refers to:,the punishment or stigmatization of deviant acts,the labelling of an act as deviant through social reactions to it,the ways in which taking on a deviant role affects future action,all of the above,D,\n\nAnswer: D all of the above.,1,600.3123999983072,2023-12-01T05:31:13.677Z
6569539b90ab67957d48c022,The effect of the Internet upon the public sphere has been to:,"repress it, by promoting only the interests of elite groups","revive it, by reaffirming a commitment to freedom of speech","reproduce it, by emphasizing face-to-face contact with peer groups",replace it with a superior form of communication,B,"\n\nAnswer: B revive it, by reaffirming a commitment to freedom of speech",1,660.8815000019968,2023-12-01T05:31:17.903Z
6569539b90ab67957d48c023,Weber said that the 'spirit of capitalism' could be traced back to:,the movement towards religious pluralism,inspirational Protestant groups who revived religious ideas,new religious movements who rejected traditional forms of labour,Calvinists who engaged in ascetic practices to gain signs of salvation,D,\n\nAnswer: D Calvinists who engaged in ascetic practices to gain signs of salvation.,1,654.720600001514,2023-12-01T05:31:19.556Z
6569539b90ab67957d48c024,The terms 'crisis of the 1970s' is used to refer to:,declining profits and rising unemployment,the eradication of the welfare state,rising divorce rates and the decline of the traditional family,an unfortunate twist in fashion sensibility,A,\n\nAnswer: A declining profits and rising unemployment,1,488.0625,2023-12-01T05:31:21.508Z
